"scenario_id","scenario_label","scenario_family","purpose","effect_source","theta_A","theta_B","gamma","method_id","claim_regime","adjustment_method","allocation_strategy","manuscript_role","N","alpha","nrep","variance_method","distribution","expected_analytic_match","truth_delta_AB_minus_A","truth_delta_AB_minus_B","plan_delta_AB_minus_A","plan_delta_AB_minus_B","margin_AB_minus_A","margin_AB_minus_B","sigma2_A","sigma2_B","sigma2_AB","allocation_A","allocation_B","allocation_AB","n_A","n_B","n_AB","true_null_AB_minus_A","true_null_AB_minus_B","cutoff_mean","cutoff_min","cutoff_max","empirical_joint_success","empirical_joint_success_lcl","empirical_joint_success_ucl","analytic_joint_success","planned_analytic_joint_success","joint_success_absolute_difference","empirical_any_true_reject","empirical_any_true_reject_lcl","empirical_any_true_reject_ucl","analytic_any_true_reject","empirical_false_full_contribution","empirical_false_full_contribution_lcl","empirical_false_full_contribution_ucl","analytic_false_full_contribution","empirical_marginal_power_AB_minus_A","empirical_marginal_power_AB_minus_B","analytic_marginal_power_AB_minus_A","analytic_marginal_power_AB_minus_B","seed"
"global_null__alpha_0p025","global_null","global_null","False full-contribution conclusion when neither component contribution is present","direct_delta",NA,NA,NA,"equal_iut_full","full_contribution","iut","equal","transparent equal-allocation full-contribution baseline",240,0.025,3000,"common","normal",TRUE,0,0,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,TRUE,TRUE,1.959964,1.959964,1.959964,0.004,0.001741,0.006259,0.004622,0.704031,0.000622,0.047333,0.039734,0.054932,0.045378,0.004,0.001741,0.006259,0.004622,0.026667,0.024667,0.025,0.025,202607192
"global_null__alpha_0p025","global_null","global_null","False full-contribution conclusion when neither component contribution is present","direct_delta",NA,NA,NA,"plugin_iut_full","full_contribution","iut","plugin_joint_success","planned-effect allocation for the full-contribution IUT decision",240,0.025,3000,"common","normal",TRUE,0,0,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,TRUE,TRUE,1.959964,1.959964,1.959964,0.004,0.001741,0.006259,0.004622,0.704031,0.000622,0.043,0.035741,0.050259,0.045378,0.004,0.001741,0.006259,0.004622,0.024333,0.022667,0.025,0.025,202607193
"global_null__alpha_0p025","global_null","global_null","False full-contribution conclusion when neither component contribution is present","direct_delta",NA,NA,NA,"conservative_iut_full","full_contribution","iut","conservative_joint_success","conservative planned-effect allocation for uncertain contribution inputs",240,0.025,3000,"common","normal",TRUE,0,0,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,TRUE,TRUE,1.959964,1.959964,1.959964,0.005,0.002476,0.007524,0.004622,0.704031,0.000378,0.051333,0.043437,0.05923,0.045378,0.005,0.002476,0.007524,0.004622,0.029667,0.026667,0.025,0.025,202607194
"global_null__alpha_0p025","global_null","global_null","False full-contribution conclusion when neither component contribution is present","direct_delta",NA,NA,NA,"marginal_iut_full","full_contribution","iut","marginal_power_comparator","diagnostic comparator that balances the weaker marginal contribution",240,0.025,3000,"common","normal",TRUE,0,0,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,TRUE,TRUE,1.959964,1.959964,1.959964,0.005333,0.002727,0.00794,0.004622,0.704031,0.000711,0.048333,0.040659,0.056008,0.045378,0.005333,0.002727,0.00794,0.004622,0.027,0.026667,0.025,0.025,202607195
"global_null__alpha_0p025","global_null","global_null","False full-contribution conclusion when neither component contribution is present","direct_delta",NA,NA,NA,"equal_maxT_separate","separate_component_claims","maxT","equal","optional separate component-claim family-wise analysis",240,0.025,3000,"common","normal",TRUE,0,0,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,TRUE,TRUE,2.212135,2.212135,2.212135,0.001333,2.8e-05,0.002639,0.001957,0.603361,0.000624,0.019,0.014115,0.023885,0.025,0.001333,2.8e-05,0.002639,0.001957,0.010333,0.01,0.013479,0.013479,202607196
"partial_null_AB_minus_A__alpha_0p025","partial_null_AB_minus_A","partial_null","False full-contribution conclusion when AB does not beat A","direct_delta",NA,NA,NA,"equal_iut_full","full_contribution","iut","equal","transparent equal-allocation full-contribution baseline",240,0.025,3000,"common","normal",TRUE,0,0.45,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,TRUE,FALSE,1.959964,1.959964,1.959964,0.026667,0.020902,0.032432,0.024756,0.704031,0.001911,0.026667,0.020902,0.032432,0.025,0.026667,0.020902,0.032432,0.024756,0.026667,0.808667,0.025,0.812214,202608192
"partial_null_AB_minus_A__alpha_0p025","partial_null_AB_minus_A","partial_null","False full-contribution conclusion when AB does not beat A","direct_delta",NA,NA,NA,"plugin_iut_full","full_contribution","iut","plugin_joint_success","planned-effect allocation for the full-contribution IUT decision",240,0.025,3000,"common","normal",TRUE,0,0.45,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,TRUE,FALSE,1.959964,1.959964,1.959964,0.027333,0.021499,0.033168,0.024756,0.704031,0.002577,0.027667,0.021797,0.033536,0.025,0.027333,0.021499,0.033168,0.024756,0.027667,0.824667,0.025,0.812214,202608193
"partial_null_AB_minus_A__alpha_0p025","partial_null_AB_minus_A","partial_null","False full-contribution conclusion when AB does not beat A","direct_delta",NA,NA,NA,"conservative_iut_full","full_contribution","iut","conservative_joint_success","conservative planned-effect allocation for uncertain contribution inputs",240,0.025,3000,"common","normal",TRUE,0,0.45,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,TRUE,FALSE,1.959964,1.959964,1.959964,0.025667,0.020008,0.031326,0.024756,0.704031,0.000911,0.026333,0.020603,0.032063,0.025,0.025667,0.020008,0.031326,0.024756,0.026333,0.807667,0.025,0.812214,202608194
"partial_null_AB_minus_A__alpha_0p025","partial_null_AB_minus_A","partial_null","False full-contribution conclusion when AB does not beat A","direct_delta",NA,NA,NA,"marginal_iut_full","full_contribution","iut","marginal_power_comparator","diagnostic comparator that balances the weaker marginal contribution",240,0.025,3000,"common","normal",TRUE,0,0.45,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,TRUE,FALSE,1.959964,1.959964,1.959964,0.024333,0.01882,0.029847,0.024756,0.704031,0.000423,0.024333,0.01882,0.029847,0.025,0.024333,0.01882,0.029847,0.024756,0.024333,0.803667,0.025,0.812214,202608195
"partial_null_AB_minus_A__alpha_0p025","partial_null_AB_minus_A","partial_null","False full-contribution conclusion when AB does not beat A","direct_delta",NA,NA,NA,"equal_maxT_separate","separate_component_claims","maxT","equal","optional separate component-claim family-wise analysis",240,0.025,3000,"common","normal",TRUE,0,0.45,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,TRUE,FALSE,2.212135,2.212135,2.212135,0.015,0.01065,0.01935,0.013281,0.603361,0.001719,0.015333,0.010936,0.01973,0.013479,0.015,0.01065,0.01935,0.013281,0.015333,0.738333,0.013479,0.736932,202608196
"partial_null_AB_minus_B__alpha_0p025","partial_null_AB_minus_B","partial_null","False full-contribution conclusion when AB does not beat B","direct_delta",NA,NA,NA,"equal_iut_full","full_contribution","iut","equal","transparent equal-allocation full-contribution baseline",240,0.025,3000,"common","normal",TRUE,0.45,0,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,FALSE,TRUE,1.959964,1.959964,1.959964,0.019,0.014115,0.023885,0.024756,0.704031,0.005756,0.019,0.014115,0.023885,0.025,0.019,0.014115,0.023885,0.024756,0.818,0.019,0.812214,0.025,202609192
"partial_null_AB_minus_B__alpha_0p025","partial_null_AB_minus_B","partial_null","False full-contribution conclusion when AB does not beat B","direct_delta",NA,NA,NA,"plugin_iut_full","full_contribution","iut","plugin_joint_success","planned-effect allocation for the full-contribution IUT decision",240,0.025,3000,"common","normal",TRUE,0.45,0,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,FALSE,TRUE,1.959964,1.959964,1.959964,0.024,0.018523,0.029477,0.024756,0.704031,0.000756,0.024667,0.019116,0.030217,0.025,0.024,0.018523,0.029477,0.024756,0.820667,0.024667,0.812214,0.025,202609193
"partial_null_AB_minus_B__alpha_0p025","partial_null_AB_minus_B","partial_null","False full-contribution conclusion when AB does not beat B","direct_delta",NA,NA,NA,"conservative_iut_full","full_contribution","iut","conservative_joint_success","conservative planned-effect allocation for uncertain contribution inputs",240,0.025,3000,"common","normal",TRUE,0.45,0,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,FALSE,TRUE,1.959964,1.959964,1.959964,0.022,0.016751,0.027249,0.024756,0.704031,0.002756,0.022,0.016751,0.027249,0.025,0.022,0.016751,0.027249,0.024756,0.807667,0.022,0.812214,0.025,202609194
"partial_null_AB_minus_B__alpha_0p025","partial_null_AB_minus_B","partial_null","False full-contribution conclusion when AB does not beat B","direct_delta",NA,NA,NA,"marginal_iut_full","full_contribution","iut","marginal_power_comparator","diagnostic comparator that balances the weaker marginal contribution",240,0.025,3000,"common","normal",TRUE,0.45,0,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,FALSE,TRUE,1.959964,1.959964,1.959964,0.028667,0.022695,0.034638,0.024756,0.704031,0.003911,0.029,0.022995,0.035005,0.025,0.028667,0.022695,0.034638,0.024756,0.808,0.029,0.812214,0.025,202609195
"partial_null_AB_minus_B__alpha_0p025","partial_null_AB_minus_B","partial_null","False full-contribution conclusion when AB does not beat B","direct_delta",NA,NA,NA,"equal_maxT_separate","separate_component_claims","maxT","equal","optional separate component-claim family-wise analysis",240,0.025,3000,"common","normal",TRUE,0.45,0,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,FALSE,TRUE,2.212135,2.212135,2.212135,0.016667,0.012086,0.021248,0.013281,0.603361,0.003385,0.016667,0.012086,0.021248,0.013479,0.016667,0.012086,0.021248,0.013281,0.730333,0.016667,0.736932,0.013479,202609196
