"scenario_id","scenario_label","scenario_family","purpose","effect_source","theta_A","theta_B","gamma","method_id","claim_regime","adjustment_method","allocation_strategy","manuscript_role","N","alpha","nrep","variance_method","distribution","expected_analytic_match","truth_delta_AB_minus_A","truth_delta_AB_minus_B","plan_delta_AB_minus_A","plan_delta_AB_minus_B","margin_AB_minus_A","margin_AB_minus_B","sigma2_A","sigma2_B","sigma2_AB","allocation_A","allocation_B","allocation_AB","n_A","n_B","n_AB","true_null_AB_minus_A","true_null_AB_minus_B","cutoff_mean","cutoff_min","cutoff_max","empirical_joint_success","empirical_joint_success_lcl","empirical_joint_success_ucl","analytic_joint_success","planned_analytic_joint_success","joint_success_absolute_difference","empirical_any_true_reject","empirical_any_true_reject_lcl","empirical_any_true_reject_ucl","analytic_any_true_reject","empirical_false_full_contribution","empirical_false_full_contribution_lcl","empirical_false_full_contribution_ucl","analytic_false_full_contribution","empirical_marginal_power_AB_minus_A","empirical_marginal_power_AB_minus_B","analytic_marginal_power_AB_minus_A","analytic_marginal_power_AB_minus_B","seed"
"global_null__alpha_0p025","global_null","global_null","False full-contribution conclusion when neither component contribution is present","direct_delta",NA,NA,NA,"equal_iut_full","full_contribution","iut","equal","transparent equal-allocation full-contribution baseline",240,0.025,50000,"common","normal",TRUE,0,0,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,TRUE,TRUE,1.959964,1.959964,1.959964,0.00526,0.004626,0.005894,0.004622,0.704031,0.000638,0.04692,0.045066,0.048774,0.045378,0.00526,0.004626,0.005894,0.004622,0.02632,0.02586,0.025,0.025,202607191
"global_null__alpha_0p025","global_null","global_null","False full-contribution conclusion when neither component contribution is present","direct_delta",NA,NA,NA,"shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark","shared-arm benchmark for two contribution comparisons",240,0.025,50000,"common","normal",TRUE,0,0,0.45,0.45,0,0,1,1,1,0.292893,0.292893,0.414214,70,70,100,TRUE,TRUE,1.959964,1.959964,1.959964,0.00386,0.003316,0.004404,0.003493,0.710662,0.000367,0.04928,0.047383,0.051177,0.046507,0.00386,0.003316,0.004404,0.003493,0.02692,0.02622,0.025,0.025,202607192
"global_null__alpha_0p025","global_null","global_null","False full-contribution conclusion when neither component contribution is present","direct_delta",NA,NA,NA,"plugin_iut_full","full_contribution","iut","plugin_joint_success","planned-effect allocation for the full-contribution IUT decision",240,0.025,50000,"common","normal",TRUE,0,0,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,TRUE,TRUE,1.959964,1.959964,1.959964,0.0047,0.0041,0.0053,0.004622,0.704031,7.8e-05,0.04642,0.044576,0.048264,0.045378,0.0047,0.0041,0.0053,0.004622,0.02558,0.02554,0.025,0.025,202607193
"global_null__alpha_0p025","global_null","global_null","False full-contribution conclusion when neither component contribution is present","direct_delta",NA,NA,NA,"conservative_iut_full","full_contribution","iut","conservative_joint_success","conservative planned-effect allocation for uncertain contribution inputs",240,0.025,50000,"common","normal",TRUE,0,0,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,TRUE,TRUE,1.959964,1.959964,1.959964,0.00458,0.003988,0.005172,0.004622,0.704031,4.2e-05,0.04708,0.045223,0.048937,0.045378,0.00458,0.003988,0.005172,0.004622,0.02554,0.02612,0.025,0.025,202607194
"global_null__alpha_0p025","global_null","global_null","False full-contribution conclusion when neither component contribution is present","direct_delta",NA,NA,NA,"marginal_iut_full","full_contribution","iut","marginal_power_comparator","diagnostic comparator that balances the weaker marginal contribution",240,0.025,50000,"common","normal",TRUE,0,0,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,TRUE,TRUE,1.959964,1.959964,1.959964,0.00486,0.00425,0.00547,0.004622,0.704031,0.000238,0.04604,0.044203,0.047877,0.045378,0.00486,0.00425,0.00547,0.004622,0.02612,0.02478,0.025,0.025,202607195
"global_null__alpha_0p025","global_null","global_null","False full-contribution conclusion when neither component contribution is present","direct_delta",NA,NA,NA,"equal_maxT_separate","separate_component_claims","maxT","equal","optional separate component-claim family-wise analysis",240,0.025,50000,"common","normal",TRUE,0,0,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,TRUE,TRUE,2.212135,2.212135,2.212135,0.00194,0.001554,0.002326,0.001957,0.603361,1.7e-05,0.02452,0.023164,0.025876,0.025,0.00194,0.001554,0.002326,0.001957,0.0136,0.01286,0.013479,0.013479,202607196
"partial_null_AB_minus_A__alpha_0p025","partial_null_AB_minus_A","partial_null","False full-contribution conclusion when AB does not beat A","direct_delta",NA,NA,NA,"equal_iut_full","full_contribution","iut","equal","transparent equal-allocation full-contribution baseline",240,0.025,50000,"common","normal",TRUE,0,0.45,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,TRUE,FALSE,1.959964,1.959964,1.959964,0.02476,0.023398,0.026122,0.024756,0.704031,4e-06,0.02502,0.023651,0.026389,0.025,0.02476,0.023398,0.026122,0.024756,0.02502,0.81094,0.025,0.812214,202608191
"partial_null_AB_minus_A__alpha_0p025","partial_null_AB_minus_A","partial_null","False full-contribution conclusion when AB does not beat A","direct_delta",NA,NA,NA,"shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark","shared-arm benchmark for two contribution comparisons",240,0.025,50000,"common","normal",TRUE,0,0.45,0.45,0.45,0,0,1,1,1,0.292893,0.292893,0.414214,70,70,100,TRUE,FALSE,1.959964,1.959964,1.959964,0.02496,0.023593,0.026327,0.024499,0.710662,0.000461,0.02546,0.024079,0.026841,0.025,0.02496,0.023593,0.026327,0.024499,0.02546,0.82168,0.025,0.823202,202608192
"partial_null_AB_minus_A__alpha_0p025","partial_null_AB_minus_A","partial_null","False full-contribution conclusion when AB does not beat A","direct_delta",NA,NA,NA,"plugin_iut_full","full_contribution","iut","plugin_joint_success","planned-effect allocation for the full-contribution IUT decision",240,0.025,50000,"common","normal",TRUE,0,0.45,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,TRUE,FALSE,1.959964,1.959964,1.959964,0.02488,0.023515,0.026245,0.024756,0.704031,0.000124,0.02516,0.023787,0.026533,0.025,0.02488,0.023515,0.026245,0.024756,0.02516,0.81182,0.025,0.812214,202608193
"partial_null_AB_minus_A__alpha_0p025","partial_null_AB_minus_A","partial_null","False full-contribution conclusion when AB does not beat A","direct_delta",NA,NA,NA,"conservative_iut_full","full_contribution","iut","conservative_joint_success","conservative planned-effect allocation for uncertain contribution inputs",240,0.025,50000,"common","normal",TRUE,0,0.45,0.45,0.45,0,0,1,1,1,0.333333,0.333333,0.333333,80,80,80,TRUE,FALSE,1.959964,1.959964,1.959964,0.02512,0.023748,0.026492,0.024756,0.704031,0.000364,0.02526,0.023885,0.026635,0.025,0.02512,0.023748,0.026492,0.024756,0.02526,0.81086,0.025,0.812214,202608194
